City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Nouadhibou,MR,2022-01-23 22:30:44,20.931,-17.0347,71.58,56,100,13.8
275,Mezen,RU,2022-01-23 22:30:45,65.8522,44.24,14.07,92,100,12.37
276,Santa Cruz Del Sur,CU,2022-01-23 22:30:45,20.7147,-77.9956,78.08,72,32,8.77
277,Aykhal,RU,2022-01-23 22:30:46,66.0,111.5,-10.59,100,87,4.81
278,Tocopilla,CL,2022-01-23 22:30:46,-22.092,-70.1979,69.8,79,99,11.1
279,Faya,SA,2022-01-23 22:30:47,18.3851,42.4509,50.52,60,34,3.09
280,Great Yarmouth,GB,2022-01-23 22:30:47,52.6083,1.7305,41.31,74,100,7.99
281,Urusha,RU,2022-01-23 22:30:47,54.05,122.9,-15.27,97,5,2.71
282,Pangody,RU,2022-01-23 22:30:48,65.85,74.4859,-9.35,100,99,7.43
283,Kununurra,AU,2022-01-23 22:30:48,-15.7667,128.7333,78.78,94,100,3.44
284,Pasighat,IN,2022-01-23 22:30:49,28.0667,95.3333,57.36,59,94,4.18
285,Souillac,MU,2022-01-23 22:30:49,-20.5167,57.5167,79.18,83,40,2.3
286,Luyang,CN,2022-01-23 22:30:49,27.6239,110.0989,37.13,94,98,3.44
287,Bayburt,TR,2022-01-23 22:30:50,40.2589,40.2278,11.1,94,34,5.1
288,Maniitsoq,GL,2022-01-23 22:30:50,65.4167,-52.9,19.83,68,100,19.39
289,Mangrol,IN,2022-01-23 22:30:51,21.1167,70.1167,59.04,54,14,9.55
290,Encantado,BR,2022-01-23 22:30:51,-29.2361,-51.8697,84.29,97,96,3.27
291,Maua,BR,2022-01-23 22:28:04,-23.6678,-46.4614,76.35,90,69,6.31
